Listing Name,category,"image, location",description,address,phone,website,reviewnumber,reviewscore
Supa Nova Electrical Power & Plumbing,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13042.gif,"SunFor Technologies is a leading energy efficient, lighting and building safety company with a reputable portfolio of reliable suppliers.",Services all over South Africa,083 289 5180,http://www.timber-decks.co.za,(0 reviews),0
Supreme Ceilings and Drywalling,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13423.gif,It is SUPA NOVA Electrical Power & Plumbing and STOP A LEAK LEAK DETECTION chief aim to provide prompt and efficient service to all our clients.,"36 Kings Road, Pinetown, Durban
		
		
					Pinetown, Durban Metro and Durban",083 289 5180,See Timbrecity Website,(0 reviews),0
Supreme Painting Specialists,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13455.gif,"Supreme ceilings and drywalling provides a variety of interior construction services, including drywalling, suspended and flushed plastured ceilings, partitioning, as well as commercial/industrial painting to general contractors and the public.",Servicing the Western Cape,031 464 0520,See Tom Finlay Electricval,(0 reviews),0
Surefix ,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13170.gif,Supreme Painting Specialists was founded alongside Supreme Ceilings and Drywall in 2010. We maintain the philosophy of providing quality workmanship with excellent customer service with a quality final product.,Services throughout South Africa,014 596 6436,http://www.tracksafe.co.za,(0 reviews),0
T & W Electrical Contractors,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13158.gif,"Whether you have the nuisance of a trickling leak in the break room, or a flooding sewer main, Surefix is on call and ready to respond to your emergency.",Services throughout Glenwood,021 976 7117,http://traviata.co.za/,(0 reviews),0
Techno Electrical,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_13066.gif,Need help with your electricity? Call T & W Electrical Contractors now!,"122 4th Street
		
		
					Springs, East Rand 1559",041-372 1080,www.uniqueflooring.co.za,(0 reviews),0
Teloc Enviro-Friendly,"in Renovating and Building Services, Landscaping",http://www.sahomesguide.co.za/custom/image_files/photo_13228.gif,We believe in building long lasting and trusting relationships with our clients in order to offer them our devoted and infallible support. ,"50 Herman Road
		
					Meadowdale
		
					Germiston, East Rand 1614",012 342 1860,Visit Van Dyck Carpets Website,(0 reviews),0
The Drain Surgeon,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_13012.gif,"We are South Africa's leading stormwater and sewerage cleaning, refuse collecting and road sweeping company. We are committed to develop the growth and enhancement of our employees, thereby producing efficiency and reliability in our service.",Services throughout Hillcrest,0861 353 287,Visit Versus Paint SpecialistsWebsite,(0 reviews),0
The Electro Surgeon,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13096.gif,The main reason behind the growth of The Drain Surgeon is simple ...We treat customers better than anyone else!,Nationwide Outlets,011 782 7917 or 072 697 7584,See Wilson Plumbers Website,(0 reviews),0
The Maintenance Guys,"in Renovating and Building Services, Household Services",http://www.sahomesguide.co.za/custom/image_files/photo_16350.gif,The main reason behind the growth of The Electro Surgeon is simple ...We treat customers better than anyone else!,"704-706 6th Street
		
					Wynberg
		
					Sandton, Greater Johannesburg 2090",082 491 7420,www.xtremesolar.co.za,(0 reviews),0
The Right Guy Maintenance,"in Household Services, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_16933.gif,Your one stop solution to those homely needs!,Services throughout Sandton,086 122 4424,,(0 reviews),0
The Solar Shop,"in Renovating and Building Services, Landscaping",http://www.sahomesguide.co.za/custom/image_files/photo_13545.jpg,The Right Guy Maintenance cc was Launched in 2005 in order to provide the type of service to property owners that everyone expects but doesn't seem able to find anymore.,Services throughout Johannesburg,031 709 0267,,(0 reviews),0
Thuthuka Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13106.jpg,"The Solar Shop has marketed and installed solar domestic panels, solar pool heating panels, pool covers, roll up stations and roof insulation. We pride ourselves on the quality and after sales service offered to our customers.",Services throughout Garden Route,083 292-0196,,(0 reviews),0
Timber Decks,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13310.gif,Thuthuka electrical for all your electrical needs.,"60 Fifth Avenue
		
		
					Alberton, East Rand",+27 21 927 5000,,(0 reviews),0
Timbercity,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_12953.gif,"You have come to the right place for an absolutely trouble free installation when choosing a custom deck and kids jungle gym builder. I'm very passionate about wood and steel and together with my team, extremely proud of the work we do. ",,031 205 3043,,(0 reviews),0
Tom Finlay Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13162.jpg,Timbercity has become one of Southern Africas most recognized and trusted brands. We are proud of our reputation as it is the embodiment of all we stand for and believe in.,,011 362 1163,,(0 reviews),0
Track Safe South Africa,"in Home Security Products, Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_15986.gif,"We are proud to offer our customers an honest and reliable service, performing all electrical requirements.",,011 453 0296 or 084 504 7465 ,,(0 reviews),0
Traviata Flooring Systems,"in Renovating and Building Services, Home Interior and Decor",http://www.sahomesguide.co.za/custom/image_files/photo_16746.gif,"A leading Reseller of professional GPS tracker and wireless communications equipment, is dedicated to bringing reliable products and customized solutions to clients across the world.",,012 653 6722 or 083 417 6955,,(0 reviews),0
Unique Flooring,"in Home Interior and Decor, Renovating and Building Services, Homemakers Shopping, Household Products",http://www.sahomesguide.co.za/custom/image_files/photo_16115.gif,"Importers, Distributors of Quality Flooring products for over a Decade. Importers and Wholesalers of Luxury Vinyl and Laminate Flooring.",,031 765 8578,,(0 reviews),0
Van Deventer Plumbers,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13168.gif,"Unique Flooring offers its customers a wide range of products including Laminate flooring, Underfloor heating, Carpets, and Accessories.",,031 913 3932 or 073 072 0469,,(0 reviews),0
Van Dyck Carpets,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_16935.gif,"Give us a call for all Industrial, commercial, domestic, Plumbing and leak detection.",,(011) 885 3136 or 0861 VERSUS,,(0 reviews),0
Versus Paint Specialists,"in Home Interior and Decor, Renovating and Building Services",http://www.sahomesguide.co.za/custom/image_files/photo_17140.gif,"With more than half a century of expertise in carpets and flooring, we offer top quality products at affordable prices. For a wide variety of colours and textures for any area, you've come to the right place.",,011 882 2546,,(0 reviews),0
Vinnie's Electrical CC,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13196.gif,Versus Paint Specialists are a master coating and paint supplier that has gained a leading stand in the industry for quality products and customer care.,,076 497 3038,,(0 reviews),0
Wide Range Electrical,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13192.gif,"We do Electrical - Fencing, Maintenance, Home Automation, Security, Construction, Underfloor Heating.",,044 874 2500,,(0 reviews),0
Wilson Plumbers,in Renovating and Building Services,http://www.sahomesguide.co.za/custom/image_files/photo_13081.gif,"At Wide Range Electrical, we can help you with ALL your electrician needs.",,011 907 2522 / 25,,(0 reviews),0
Xtreme Solar,"in Renovating and Building Services, Swimming Pools",http://www.sahomesguide.co.za/custom/image_files/photo_16376.gif,"We specialize in the servicing, cleansing and rectification of all types of drain and pipeline systems in the most professional manner.",,,,(0 reviews),0
